alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,117.38,28.41,4.88,14.93,3.34,1.87,31.42,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,101.90,14.91,3.29,1.86,35.89,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182045,1,1,1,3.7801,3.7815,3.7818,3.7830,3.7806,3.7810,3.7788,3.7780,3.7805,3.7812,3.8129,3.7804,3.7998,3.7785,3.7789,3.7770,3.8159,3.7812,3.7791,3.8174,3.7820,3.7656,3.7809,3.7813,3.7808,3.7815,3.7823,3.7818,3.7800,3.7797,3.7796,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.44,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.03,102.18,14.90,3.29,1.86,35.89,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182231,1,1,1,3.7799,3.7815,3.7819,3.7831,3.7808,3.7811,3.7788,3.7781,3.7805,3.7812,3.8129,3.7805,3.7999,3.7786,3.7790,3.7771,3.8159,3.7812,3.7792,3.8176,3.7823,3.7655,3.7809,3.7814,3.7810,3.7814,3.7823,3.7818,3.7799,3.7798,3.7798,
Yes,0.00,117.38,28.41,4.88,14.93,3.34,1.87,31.42,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,102.18,14.91,3.29,1.86,35.88,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182247,1,1,1,3.7801,3.7815,3.7820,3.7831,3.7807,3.7810,3.7787,3.7782,3.7805,3.7812,3.8129,3.7804,3.7999,3.7786,3.7791,3.7771,3.8159,3.7812,3.7791,3.8175,3.7823,3.7656,3.7809,3.7814,3.7809,3.7816,3.7822,3.7817,3.7799,3.7797,3.7798,
Yes,0.00,117.38,28.41,4.88,14.93,3.34,1.86,31.43,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,102.18,14.91,3.29,1.86,35.88,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182947,1,1,1,3.7799,3.7814,3.7818,3.7830,3.7806,3.7810,3.7788,3.7783,3.7805,3.7812,3.8128,3.7804,3.7997,3.7786,3.7790,3.7770,3.8158,3.7813,3.7792,3.8175,3.7822,3.7656,3.7808,3.7813,3.7808,3.7814,3.7823,3.7818,3.7799,3.7796,3.7796,
Yes,0.00,117.38,28.41,4.88,14.93,3.34,1.86,31.42,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,101.90,14.91,3.29,1.86,35.89,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182315,1,1,1,3.7801,3.7815,3.7818,3.7830,3.7805,3.7809,3.7787,3.7781,3.7803,3.7811,3.8127,3.7804,3.7999,3.7785,3.7790,3.7769,3.8156,3.7812,3.7792,3.8174,3.7821,3.7654,3.7809,3.7813,3.7808,3.7814,3.7822,3.7815,3.7800,3.7798,3.7797,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.44,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,102.18,14.91,3.29,1.86,35.89,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181758,1,1,1,3.7801,3.7815,3.7818,3.7830,3.7806,3.7811,3.7788,3.7782,3.7806,3.7811,3.8128,3.7805,3.7999,3.7786,3.7790,3.7769,3.8157,3.7812,3.7791,3.8175,3.7822,3.7655,3.7809,3.7814,3.7809,3.7815,3.7823,3.7818,3.7800,3.7797,3.7798,
Yes,0.00,117.38,28.41,4.88,14.93,3.34,1.86,31.43,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,102.18,14.91,3.29,1.86,35.89,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181655,1,1,1,3.7800,3.7815,3.7818,3.7829,3.7805,3.7810,3.7787,3.7779,3.7805,3.7810,3.8125,3.7804,3.7997,3.7785,3.7788,3.7769,3.8157,3.7811,3.7791,3.8173,3.7820,3.7655,3.7808,3.7812,3.7807,3.7813,3.7821,3.7816,3.7798,3.7794,3.7795,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.45,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,102.18,14.91,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182343,1,1,1,3.7801,3.7814,3.7818,3.7830,3.7805,3.7809,3.7788,3.7781,3.7804,3.7811,3.8128,3.7804,3.7997,3.7786,3.7790,3.7770,3.8158,3.7812,3.7791,3.8174,3.7822,3.7654,3.7809,3.7813,3.7808,3.7814,3.7823,3.7817,3.7799,3.7796,3.7797,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.43,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.03,102.18,14.90,3.29,1.86,35.89,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182402,1,1,1,3.7801,3.7815,3.7820,3.7831,3.7806,3.7810,3.7788,3.7781,3.7804,3.7812,3.8128,3.7805,3.8000,3.7787,3.7792,3.7771,3.8159,3.7813,3.7791,3.8176,3.7823,3.7656,3.7811,3.7814,3.7810,3.7816,3.7824,3.7816,3.7801,3.7797,3.7797,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.44,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.04,102.18,14.90,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182617,1,1,1,3.7800,3.7814,3.7819,3.7829,3.7806,3.7810,3.7786,3.7780,3.7804,3.7812,3.8129,3.7803,3.7997,3.7785,3.7790,3.7771,3.8158,3.7812,3.7791,3.8175,3.7822,3.7656,3.7809,3.7812,3.7808,3.7815,3.7823,3.7818,3.7800,3.7798,3.7796,
Yes,0.00,117.38,28.41,4.88,14.93,3.34,1.86,31.43,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.04,102.18,14.91,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181786,1,1,1,3.7802,3.7814,3.7818,3.7829,3.7805,3.7809,3.7787,3.7781,3.7803,3.7810,3.8126,3.7804,3.7999,3.7785,3.7789,3.7770,3.8157,3.7810,3.7792,3.8174,3.7821,3.7653,3.7809,3.7813,3.7808,3.7813,3.7821,3.7816,3.7801,3.7798,3.7797,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.44,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.04,102.18,14.91,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181711,1,1,1,3.7800,3.7814,3.7817,3.7829,3.7806,3.7810,3.7787,3.7780,3.7803,3.7810,3.8127,3.7804,3.7998,3.7784,3.7790,3.7771,3.8158,3.7814,3.7792,3.8174,3.7822,3.7655,3.7810,3.7812,3.7808,3.7814,3.7823,3.7818,3.7799,3.7797,3.7796,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.45,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.04,102.18,14.90,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182398,1,1,1,3.7800,3.7813,3.7817,3.7829,3.7806,3.7811,3.7786,3.7781,3.7804,3.7811,3.8130,3.7804,3.7997,3.7785,3.7790,3.7770,3.8159,3.7811,3.7791,3.8176,3.7822,3.7656,3.7808,3.7814,3.7810,3.7815,3.7824,3.7819,3.7800,3.7796,3.7798,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.45,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.17,30.04,102.18,14.90,3.29,1.86,35.92,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182358,1,1,1,3.7800,3.7813,3.7818,3.7830,3.7807,3.7810,3.7787,3.7781,3.7805,3.7811,3.8128,3.7804,3.7997,3.7785,3.7790,3.7770,3.8157,3.7811,3.7792,3.8174,3.7821,3.7655,3.7807,3.7813,3.7807,3.7814,3.7823,3.7816,3.7799,3.7796,3.7796,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.45,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.04,101.90,14.90,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182354,1,1,1,3.7802,3.7815,3.7819,3.7830,3.7806,3.7809,3.7789,3.7782,3.7806,3.7810,3.8128,3.7805,3.8000,3.7786,3.7790,3.7770,3.8158,3.7813,3.7793,3.8176,3.7822,3.7655,3.7810,3.7814,3.7810,3.7814,3.7823,3.7817,3.7801,3.7800,3.7798,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.45,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.04,101.90,14.90,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182688,1,1,1,3.7801,3.7814,3.7818,3.7830,3.7807,3.7809,3.7787,3.7782,3.7806,3.7810,3.8128,3.7805,3.7999,3.7786,3.7790,3.7771,3.8158,3.7812,3.7792,3.8175,3.7822,3.7656,3.7809,3.7813,3.7807,3.7815,3.7823,3.7817,3.7800,3.7797,3.7795,
Yes,0.00,117.36,28.42,4.88,14.93,3.34,1.86,31.47,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.04,102.18,14.91,3.29,1.86,35.90,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182585,1,1,1,3.7801,3.7815,3.7819,3.7830,3.7806,3.7810,3.7787,3.7780,3.7805,3.7812,3.8127,3.7805,3.7998,3.7785,3.7790,3.7770,3.8158,3.7813,3.7792,3.8174,3.7822,3.7655,3.7809,3.7813,3.7809,3.7814,3.7823,3.7817,3.7801,3.7797,3.7797,
Yes,0.00,117.37,28.42,4.88,14.93,3.34,1.86,31.47,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.04,102.18,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182414,1,1,1,3.7801,3.7815,3.7819,3.7829,3.7806,3.7810,3.7787,3.7782,3.7805,3.7811,3.8128,3.7805,3.7999,3.7787,3.7791,3.7772,3.8160,3.7812,3.7791,3.8175,3.7822,3.7656,3.7809,3.7813,3.7807,3.7814,3.7822,3.7817,3.7800,3.7798,3.7798,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.47,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.05,102.18,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.78,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181325,1,1,1,3.7800,3.7814,3.7818,3.7829,3.7806,3.7809,3.7787,3.7781,3.7805,3.7811,3.8128,3.7805,3.7997,3.7785,3.7788,3.7770,3.8158,3.7812,3.7791,3.8174,3.7820,3.7655,3.7809,3.7813,3.7807,3.7813,3.7822,3.7816,3.7800,3.7798,3.7797,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.46,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.05,102.18,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182017,1,1,1,3.7800,3.7814,3.7818,3.7830,3.7807,3.7809,3.7786,3.7780,3.7805,3.7811,3.8128,3.7804,3.7997,3.7786,3.7790,3.7770,3.8157,3.7813,3.7791,3.8175,3.7821,3.7654,3.7808,3.7812,3.7808,3.7813,3.7822,3.7816,3.7800,3.7795,3.7797,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.46,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.17,30.05,102.18,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182160,1,1,1,3.7798,3.7813,3.7817,3.7830,3.7805,3.7809,3.7786,3.7780,3.7804,3.7810,3.8127,3.7803,3.7996,3.7785,3.7791,3.7770,3.8158,3.7811,3.7790,3.8174,3.7821,3.7654,3.7807,3.7811,3.7806,3.7812,3.7822,3.7818,3.7799,3.7796,3.7794,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.45,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.17,30.05,102.18,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182009,1,1,1,3.7800,3.7814,3.7816,3.7829,3.7807,3.7810,3.7787,3.7780,3.7803,3.7810,3.8127,3.7803,3.7996,3.7785,3.7789,3.7769,3.8157,3.7811,3.7791,3.8174,3.7821,3.7656,3.7808,3.7812,3.7807,3.7813,3.7822,3.7817,3.7799,3.7796,3.7794,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.49,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.17,30.05,101.90,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181111,1,1,1,3.7801,3.7815,3.7819,3.7830,3.7806,3.7810,3.7787,3.7780,3.7803,3.7810,3.8128,3.7804,3.7998,3.7785,3.7790,3.7771,3.8158,3.7812,3.7791,3.8175,3.7822,3.7655,3.7808,3.7812,3.7809,3.7815,3.7823,3.7818,3.7800,3.7797,3.7797,
Yes,0.00,117.36,28.42,4.88,14.93,3.34,1.86,31.49,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.17,30.05,102.18,14.90,3.29,1.86,35.94,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182335,1,1,1,3.7800,3.7814,3.7817,3.7829,3.7804,3.7808,3.7786,3.7781,3.7803,3.7810,3.8126,3.7804,3.7996,3.7785,3.7788,3.7769,3.8156,3.7811,3.7789,3.8174,3.7819,3.7654,3.7809,3.7813,3.7807,3.7814,3.7821,3.7816,3.7799,3.7797,3.7796,
Yes,0.00,117.38,28.41,4.88,14.93,3.34,1.87,31.45,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.17,30.05,102.18,14.90,3.29,1.86,35.94,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182223,1,1,1,3.7799,3.7812,3.7816,3.7829,3.7805,3.7808,3.7786,3.7779,3.7803,3.7809,3.8127,3.7802,3.7995,3.7784,3.7788,3.7770,3.8158,3.7810,3.7789,3.8173,3.7820,3.7655,3.7807,3.7811,3.7806,3.7812,3.7822,3.7816,3.7799,3.7795,3.7796,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.46,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.05,102.18,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182645,1,1,1,3.7800,3.7813,3.7818,3.7828,3.7805,3.7809,3.7785,3.7779,3.7804,3.7809,3.8126,3.7803,3.7996,3.7783,3.7788,3.7770,3.8158,3.7811,3.7790,3.8173,3.7821,3.7655,3.7807,3.7810,3.7805,3.7812,3.7821,3.7817,3.7799,3.7795,3.7794,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.47,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.18,30.05,102.18,14.90,3.29,1.86,35.93,0x0,0x0,0,0,0.03,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181456,1,1,1,3.7800,3.7813,3.7817,3.7829,3.7805,3.7809,3.7788,3.7779,3.7803,3.7810,3.8127,3.7804,3.7997,3.7785,3.7789,3.7769,3.8158,3.7811,3.7789,3.8174,3.7821,3.7656,3.7808,3.7812,3.7807,3.7813,3.7822,3.7816,3.7798,3.7795,3.7797,
Yes,0.00,117.37,28.41,4.88,14.93,3.34,1.86,31.47,0x0,0x0,0,0,-0.40,-0.03,0.00,Yes,0.00,117.17,30.05,102.18,14.90,3.29,1.86,35.94,0x0,0x0,0,0,-0.24,-0.02,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x0,0.00,0.00,30.55,0.00,118.78,0.00,0.00,31.44,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182327,1,1,1,3.7800,3.7813,3.7818,3.7829,3.7806,3.7810,3.7786,3.7778,3.7802,3.7810,3.8126,3.7803,3.7997,3.7785,3.7789,3.7769,3.8157,3.7810,3.7790,3.8173,3.7820,3.7655,3.7808,3.7812,3.7806,3.7813,3.7822,3.7816,3.7798,3.7795,3.7795,
